VGS_SUPPLY	V(drain)	V(gate)	V(source)	I(VDD_SUPPLY)	I(VGS_SUPPLY)	I(VSB_SUPPLY)	Ib(M_DUT)	Id(M_DUT)	Ig(M_DUT)	Is(M_DUT)
Step Information: Temp=-40  (Step: 1/34)
9.200000000000000e-02	8.000000e-01	9.200000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
9.300000000000000e-02	8.000000e-01	9.300000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
9.400000000000000e-02	8.000000e-01	9.400000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
9.500000000000000e-02	8.000000e-01	9.500000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
9.600000000000000e-02	8.000000e-01	9.600000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
9.700000000000000e-02	8.000000e-01	9.700000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
9.800000000000000e-02	8.000000e-01	9.800000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
9.900000000000000e-02	8.000000e-01	9.900000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.000000000000000e-01	8.000000e-01	1.000000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.010000000000000e-01	8.000000e-01	1.010000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.020000000000000e-01	8.000000e-01	1.020000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.030000000000000e-01	8.000000e-01	1.030000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.040000000000000e-01	8.000000e-01	1.040000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.050000000000000e-01	8.000000e-01	1.050000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.060000000000000e-01	8.000000e-01	1.060000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.070000000000000e-01	8.000000e-01	1.070000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.080000000000000e-01	8.000000e-01	1.080000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.090000000000000e-01	8.000000e-01	1.090000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.100000000000000e-01	8.000000e-01	1.100000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.110000000000000e-01	8.000000e-01	1.110000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.120000000000000e-01	8.000000e-01	1.120000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.130000000000000e-01	8.000000e-01	1.130000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.140000000000000e-01	8.000000e-01	1.140000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.150000000000000e-01	8.000000e-01	1.150000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.160000000000000e-01	8.000000e-01	1.160000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.170000000000000e-01	8.000000e-01	1.170000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.180000000000000e-01	8.000000e-01	1.180000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.190000000000000e-01	8.000000e-01	1.190000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.200000000000000e-01	8.000000e-01	1.200000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.210000000000000e-01	8.000000e-01	1.210000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.220000000000000e-01	8.000000e-01	1.220000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.230000000000000e-01	8.000000e-01	1.230000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.240000000000000e-01	8.000000e-01	1.240000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.250000000000000e-01	8.000000e-01	1.250000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.260000000000000e-01	8.000000e-01	1.260000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.270000000000000e-01	8.000000e-01	1.270000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.280000000000000e-01	8.000000e-01	1.280000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.290000000000000e-01	8.000000e-01	1.290000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.300000000000000e-01	8.000000e-01	1.300000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.310000000000000e-01	8.000000e-01	1.310000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.320000000000000e-01	8.000000e-01	1.320000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.330000000000000e-01	8.000000e-01	1.330000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.340000000000000e-01	8.000000e-01	1.340000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.350000000000000e-01	8.000000e-01	1.350000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.360000000000000e-01	8.000000e-01	1.360000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.370000000000000e-01	8.000000e-01	1.370000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.380000000000000e-01	8.000000e-01	1.380000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.390000000000000e-01	8.000000e-01	1.390000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.400000000000000e-01	8.000000e-01	1.400000e-01	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
